Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
BEV300_NMC111,Fixed,Car.Remainder,g,6174794.763,6402158.148,16208.08196,149.875438,7058858.978,61103.78836,23496.61034,6442.86377,2955.347975,1421.224438,17673.67533,37.64160014,90.69000947
BEV300_NMC111,Fixed,Total,g,13811316.98,14051478.15,34007.18131,397.9731089,15363480.62,62565.54652,28741.5066,16375.23908,8173.965232,3158.883458,115136.6504,117.8145917,255.2332297
BEV300_NMC622,Fixed,Battery.Cu.Mine,g,7392.177258,7406.485261,13.51574895,0.099964612,7838.448351,0.951084359,7.21877503,6.843779856,2.458865562,1.229643071,2.541851347,0.02336338,0.090810834
BEV300_NMC622,Fixed,Battery.Cu.Prod,g,87115.33338,87254.06045,188.3071912,2.143863209,93471.39994,10.59778325,67.2619263,96.82267098,11.86910691,7.41351345,4957.523811,1.528395987,1.581817748
BEV300_NMC622,Fixed,Battery.Li.Prod,g,882287.7439,883727.1294,1311.421539,7.582908743,925079.2464,147.5335022,623.3644683,1265.118139,230.8673347,162.3867886,1164.973347,14.87102241,28.61781475
BEV300_NMC622,Fixed,Battery.Graphite.Prod,g,505903.3901,506525.6682,1164.124573,11.06674545,544382.0929,124.0869728,149.8892704,1499.220526,594.7554537,296.5826469,8201.860561,2.198951313,4.476453954
BEV300_NMC622,Fixed,Battery.Ni.Mine,g,265089.5682,265520.2663,352.3080926,53.59427102,290291.9909,39.34533533,196.0456734,810.5322476,58.87902917,41.79658103,511.0085888,3.578625321,6.284995002
BEV300_NMC622,Fixed,Battery.Ni.Prod,g,1132483.959,1135732.178,2249.719576,96.87348649,1228895.239,271.3604623,1528.850245,2126.67852,811.7659656,444.5692117,92348.3467,11.42518574,24.36212737
BEV300_NMC622,Fixed,Battery.Mn.Mine,g,26994.54796,0,56.77549518,0.484667677,0,3.275212961,15.09747829,20.31697219,107.5171855,53.93739718,12.75371432,0.096597056,0.432380247
BEV300_NMC622,Fixed,Battery.Co.Mine,g,47668.22951,47798.65458,58.47606886,1.166058444,49861.94213,16.49330113,50.28605366,115.2150846,1351.289515,145.4934497,2.635435121,4.84684684,1.457452287
BEV300_NMC622,Fixed,Battery.Co.Prod,g,316560.0348,317061.4076,773.7816206,7.459339065,342251.581,61.25168762,197.572911,358.6679774,36.92057948,25.85213155,1430.28365,2.952419794,7.87623148
BEV300_NMC622,Fixed,Battery.Remainder,g,3664299.611,3696940.965,9952.370383,93.73306676,4073484.015,686.4245926,2210.419722,3282.704626,679.3427669,404.929229,3477.088131,26.36159155,73.40511751
BEV300_NMC622,Fixed,Battery.Total,g,6935794.595,6947966.814,16120.80029,274.2043715,7555555.956,1361.319934,5046.006524,9582.120543,3885.665802,1584.190592,112109.0158,67.88299939,148.5852012
